session,target,distance_cm,pulse_us,threshold_v,delta_mV,plateau_amp_mV,splithalf_floor,quality,amp_mean_abs_mV
gui_20260713_212812,brass eyeball,5,45.0,2.4,-2.808,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,45.0,1.5,-1.768,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,45.0,0.5,-0.172,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,67.2,4.9,-1.166,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,67.2,4.8,-1.598,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,67.2,4.7,-1.437,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,67.2,4.4,-2.438,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,67.2,4.2,-2.306,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,67.2,3.8,-2.653,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,67.2,2.4,-2.345,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,67.2,1.5,-1.078,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,67.2,0.5,0.394,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,100.0,4.9,-0.939,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,100.0,4.8,-1.098,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,100.0,4.7,-1.862,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,100.0,4.4,-1.862,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,100.0,4.2,-2.197,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,100.0,3.8,-2.239,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,100.0,2.4,-1.68,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,100.0,1.5,-0.671,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,100.0,0.5,0.975,14.19,2.851,noisy,1.546
