sample_delay_us,air_paired_mV,spanner_mV,air_earlier_mV
1.497000000000000064e+01,-1.283969518072289517e+01,2.434689156626506445e+01,-1.228859999999999886e+01
1.498000000000000043e+01,-1.279856867469879944e+01,2.439624337349398431e+01,-1.228859999999999886e+01
1.499000000000000021e+01,-1.293017349397590721e+01,2.413303373493977588e+01,-1.297129999999999939e+01
1.500000000000000000e+01,-1.285614578313253809e+01,2.410013253012049361e+01,-1.297129999999999939e+01
1.500999999999999979e+01,-1.294662409638554124e+01,2.375466987951810083e+01,-1.365399999999999991e+01
1.501999999999999957e+01,-1.300420120481927633e+01,2.374644457831327315e+01,-1.365399999999999991e+01
1.502999999999999936e+01,-1.333321325301204219e+01,2.334340481927712929e+01,-1.228859999999999886e+01
1.504000000000000092e+01,-1.334966385542168332e+01,2.335163012048194631e+01,-1.228859999999999886e+01
1.505000000000000071e+01,-1.325096024096386138e+01,2.297326626506024994e+01,-1.365399999999999991e+01
1.506000000000000050e+01,-1.329208674698795534e+01,2.299794216867470809e+01,-1.433669999999999867e+01
1.507000000000000028e+01,-1.343191686746987834e+01,2.290746385542168895e+01,-1.365399999999999991e+01
1.508000000000000007e+01,-1.343191686746988189e+01,2.285811204819276909e+01,-1.365399999999999991e+01
1.508999999999999986e+01,-1.356352168674697722e+01,2.247152289156625216e+01,-1.297129999999999939e+01
1.509999999999999964e+01,-1.359642289156625594e+01,2.248797349397589329e+01,-1.297129999999999939e+01
1.510999999999999943e+01,-1.366222530120481338e+01,2.219186265060239549e+01,-1.433669999999999867e+01
1.511999999999999922e+01,-1.361287349397589885e+01,2.217541204819275791e+01,-1.365399999999999991e+01
1.513000000000000078e+01,-1.377737951807228711e+01,2.190397710843371470e+01,-1.297129999999999939e+01
1.514000000000000057e+01,-1.384318192771083922e+01,2.192865301204817641e+01,-1.297129999999999939e+01
1.515000000000000036e+01,-1.384318192771083922e+01,2.173947108433732822e+01,-1.433669999999999867e+01
1.516000000000000014e+01,-1.381850602409638462e+01,2.173124578313250410e+01,-1.501939999999999920e+01
