sample_delay_us,air_mV
4.579999999999999716e+01,1.638479999999999848e+01
4.589999999999999858e+01,1.638479999999999848e+01
4.600000000000000000e+01,1.433669999999999867e+01
4.609999999999999432e+01,1.570209999999999972e+01
4.620000000000000284e+01,1.501939999999999920e+01
4.629999999999999716e+01,1.501939999999999920e+01
4.639999999999999858e+01,1.638479999999999848e+01
4.650000000000000000e+01,1.433669999999999867e+01
4.659999999999999432e+01,1.638479999999999848e+01
4.670000000000000284e+01,1.433669999999999867e+01
4.679999999999999716e+01,1.638479999999999848e+01
4.689999999999999858e+01,1.638479999999999848e+01
4.700000000000000000e+01,1.501939999999999920e+01
4.710000000000000142e+01,1.433669999999999867e+01
4.720000000000000284e+01,1.706749999999999901e+01
4.729999999999999716e+01,1.638479999999999848e+01
4.739999999999999147e+01,1.501939999999999920e+01
4.750000000000000000e+01,1.433669999999999867e+01
4.760000000000000142e+01,1.638479999999999848e+01
4.769999999999999574e+01,1.501939999999999920e+01
4.779999999999999716e+01,1.638479999999999848e+01
4.789999999999999858e+01,1.638479999999999848e+01
4.800000000000000000e+01,1.501939999999999920e+01
4.810000000000000142e+01,1.501939999999999920e+01
4.820000000000000284e+01,1.638479999999999848e+01
4.829999999999999716e+01,1.501939999999999920e+01
4.839999999999999858e+01,1.638479999999999848e+01
4.850000000000000000e+01,1.638479999999999848e+01
4.860000000000000142e+01,1.501939999999999920e+01
4.870000000000000284e+01,1.433669999999999867e+01
4.879999999999999716e+01,1.775019999999999598e+01
4.889999999999999858e+01,1.433669999999999867e+01
4.900000000000000000e+01,1.706749999999999901e+01
4.909999999999999432e+01,1.501939999999999920e+01
4.919999999999999574e+01,1.638479999999999848e+01
4.930000000000000426e+01,1.570209999999999972e+01
4.939999999999999858e+01,1.501939999999999920e+01
4.950000000000000000e+01,1.433669999999999867e+01
4.960000000000000142e+01,1.638479999999999848e+01
4.969999999999999574e+01,1.501939999999999920e+01
4.979999999999999716e+01,1.638479999999999848e+01
4.989999999999999858e+01,1.638479999999999848e+01
5.000000000000000000e+01,1.501939999999999920e+01
5.010000000000000142e+01,1.638479999999999848e+01
5.019999999999999574e+01,1.501939999999999920e+01
5.029999999999999716e+01,1.570209999999999972e+01
5.039999999999999858e+01,1.433669999999999867e+01
5.050000000000000000e+01,1.638479999999999848e+01
5.060000000000000142e+01,1.433669999999999867e+01
5.070000000000000284e+01,1.501939999999999920e+01
5.079999999999999716e+01,1.638479999999999848e+01
5.089999999999999858e+01,1.638479999999999848e+01
5.100000000000000000e+01,1.433669999999999867e+01
5.110000000000000142e+01,1.706749999999999901e+01
5.120000000000000284e+01,1.433669999999999867e+01
5.129999999999999716e+01,1.638479999999999848e+01
5.139999999999999858e+01,1.501939999999999920e+01
5.150000000000000000e+01,1.501939999999999920e+01
5.159999999999999432e+01,1.638479999999999848e+01
5.169999999999999574e+01,1.501939999999999920e+01
5.180000000000000426e+01,1.638479999999999848e+01
5.189999999999999858e+01,1.501939999999999920e+01
5.200000000000000000e+01,1.638479999999999848e+01
5.210000000000000142e+01,1.638479999999999848e+01
5.219999999999999574e+01,1.501939999999999920e+01
5.229999999999999716e+01,1.638479999999999848e+01
5.239999999999999858e+01,1.501939999999999920e+01
5.250000000000000000e+01,1.433669999999999867e+01
5.260000000000000142e+01,1.706749999999999901e+01
5.269999999999999574e+01,1.501939999999999920e+01
5.279999999999999716e+01,1.638479999999999848e+01
5.289999999999999858e+01,1.433669999999999867e+01
5.300000000000000000e+01,1.638479999999999848e+01
5.310000000000000142e+01,1.501939999999999920e+01
5.320000000000000284e+01,1.638479999999999848e+01
5.329999999999999716e+01,1.570209999999999972e+01
5.339999999999999858e+01,1.501939999999999920e+01
5.350000000000000000e+01,1.638479999999999848e+01
5.359999999999999432e+01,1.501939999999999920e+01
5.370000000000000284e+01,1.501939999999999920e+01
5.379999999999999716e+01,1.570209999999999972e+01
5.389999999999999858e+01,1.638479999999999848e+01
5.400000000000000000e+01,1.501939999999999920e+01
5.409999999999999432e+01,1.638479999999999848e+01
5.419999999999999574e+01,1.433669999999999867e+01
5.430000000000000426e+01,1.570209999999999972e+01
5.439999999999999858e+01,1.501939999999999920e+01
5.450000000000000000e+01,1.638479999999999848e+01
