fw_time_ms,wall_time_s,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV
1580747,1781937045.2290,4712257,4160671,3517379,3005123,2498474,2005043,1504116,999469,497341,4688492,4246731,3626556,2982940,2470760,1974811,1477336,982513,487117,4732990,4194278,3571205,3063354,2558860,1947746,1539306,967388,475063,4474621,4098606,3453922,2958355,2460651,1969451,1472835,982399,458087,4462890,4191818,3456058,2954731,2463646,1968212,1453990,976257,486927
1580838,1781937045.3212,4712276,4160709,3517379,3005066,2498493,2005043,1504135,999507,497360,4688740,4246692,3626480,2982940,2470817,1974811,1477336,982494,487079,4733162,4194393,3571243,3063373,2558860,1947803,1539249,967445,475006,4474582,4098663,3453865,2958297,2460651,1969413,1472873,982437,458030,4462852,4191780,3455982,2954692,2463493,1968193,1453990,976257,486984
1580936,1781937045.4181,4712238,4160804,3517360,3005066,2498493,2005062,1504077,999527,497322,4689197,4246750,3626461,2982921,2470760,1974735,1477336,982494,487098,4733181,4194450,3571243,3063335,2558879,1947822,1539211,967464,475006,4474735,4098663,3453846,2958278,2460575,1969375,1472797,982418,458030,4462852,4191780,3455944,2954692,2463493,1968193,1453952,976276,486965
1581034,1781937045.5168,4712219,4160823,3517456,3005008,2498474,2004985,1504039,999527,497283,4689636,4246788,3626480,2982864,2470722,1974697,1477317,982475,487079,4733085,4194355,3571205,3063278,2558937,1947879,1539230,967426,475006,4474563,4098720,3453865,2958240,2460575,1969356,1472778,982418,458030,4462852,4191761,3455867,2954616,2463588,1968059,1453952,976295,486927
1581125,1781937045.6077,4712200,4160785,3517418,3004970,2498474,2005024,1503944,999507,497264,4689560,4246692,3626423,2982864,2470741,1974659,1477317,982494,487022,4733028,4194297,3571205,3063259,2558899,1947860,1539192,967369,475006,4474125,4098758,3453884,2958240,2460479,1969337,1472816,982437,458049,4462833,4191761,3455925,2954635,2463569,1968040,1453876,976333,486965
1581235,1781937045.7176,4712219,4160900,3517456,3005008,2498512,2005004,1503963,999488,497264,4689674,4246673,3626327,2982864,2470779,1974678,1477317,982513,486984,4733143,4194297,3571186,3063259,2558899,1947841,1539173,967369,474967,4474144,4098777,3453884,2958259,2460441,1969394,1472816,982437,458049,4462909,4191761,3455925,2954540,2463512,1968021,1453838,976295,486927
1581306,1781937045.7885,4712181,4160881,3517456,3005066,2498569,2005043,1503963,999527,497303,4689769,4246616,3626289,2982826,2470817,1974678,1477279,982513,487003,4733047,4194317,3571205,3063259,2558899,1947822,1539135,967350,474987,4474277,4098758,3453903,2958355,2460460,1969413,1472816,982437,458030,4462929,4191742,3455963,2954483,2463550,1967964,1453838,976257,486869
1581394,1781937045.8768,4712162,4160900,3517418,3004989,2498531,2005004,1504001,999507,497303,4690113,4246578,3626365,2982826,2470817,1974735,1477241,982494,486965,4732933,4194259,3571148,3063259,2558937,1947803,1539135,967350,474987,4474182,4098854,3453846,2958336,2460460,1969451,1472797,982418,457992,4462909,4191742,3456001,2954406,2463493,1967983,1453800,976276,486812
1581476,1781937045.9591,4712105,4160919,3517418,3004970,2498569,2005043,1503982,999527,497322,4690037,4246559,3626384,2982750,2470779,1974754,1477260,982494,486946,4732933,4194221,3571071,3063202,2558860,1947765,1539115,967369,474948,4474144,4098816,3453788,2958355,2460422,1969451,1472797,982437,457992,4462871,4191742,3456020,2954445,2463474,1967964,1453781,976276,486755
1581574,1781937046.0571,4712105,4160900,3517494,3004951,2498626,2004985,1503925,999546,497322,4690819,4246635,3626327,2982730,2470817,1974792,1477203,982475,486984,4732685,4194221,3571033,3063144,2558803,1947708,1539077,967350,474948,4474296,4098739,3453769,2958297,2460422,1969394,1472778,982418,457992,4462871,4191722,3456020,2954425,2463436,1967926,1453685,976314,486736
1581665,1781937046.1649,4712143,4160976,3517475,3004875,2498645,2005062,1503906,999565,497322,4690971,4246692,3626270,2982750,2470836,1974754,1477222,982437,486927,4732666,4194259,3570957,3063163,2558784,1947708,1539020,967369,474929,4474354,4098701,3453769,2958393,2460384,1969394,1472683,982418,457973,4462833,4191703,3455982,2954425,2463302,1967887,1453628,976295,486736
1581772,1781937046.2542,4712124,4160995,3517418,3004913,2498569,2005062,1503868,999546,497303,4691162,4246750,3626270,2982769,2470798,1974697,1477241,982437,486907,4732857,4194317,3570919,3063240,2558879,1947708,1538982,967350,474948,4474315,4098701,3453750,2958374,2460384,1969432,1472644,982418,457973,4462890,4191684,3456039,2954425,2463245,1967926,1453609,976295,486736
1581856,1781937046.3380,4712162,4161052,3517456,3004875,2498626,2004966,1503868,999546,497322,4691314,4246673,3626251,2982788,2470779,1974754,1477279,982418,486907,4733066,4194431,3570919,3063182,2558841,1947708,1538982,967292,474987,4474182,4098758,3453731,2958450,2460422,1969471,1472683,982418,457935,4462909,4191627,3456020,2954445,2463226,1967907,1453647,976314,486793
1581951,1781937046.4334,4712143,4161148,3517532,3004875,2498607,2004985,1503791,999527,497283,4691620,4246711,3626251,2982788,2470779,1974792,1477279,982360,486850,4732933,4194412,3570842,3063182,2558899,1947708,1539001,967292,474967,4474315,4098854,3453731,2958469,2460479,1969432,1472702,982475,457954,4462948,4191703,3456039,2954349,2463226,1967964,1453647,976333,486812
1582051,1781937046.5336,4712162,4161129,3517589,3004837,2498645,2005024,1503772,999565,497283,4691829,4246711,3626194,2982845,2470760,1974792,1477260,982399,486850,4732857,4194336,3570842,3063144,2558841,1947727,1538963,967254,474948,4474659,4098892,3453712,2958469,2460479,1969413,1472683,982475,457954,4462986,4191742,3456134,2954349,2463188,1967964,1453647,976314,486812
1582136,1781937046.6185,4712124,4161090,3517570,3004837,2498684,2005062,1503772,999546,497264,4691658,4246845,3626232,2982807,2470722,1974754,1477279,982360,486888,4732704,4194297,3570785,3063163,2558822,1947708,1538906,967273,474929,4474659,4098892,3453674,2958412,2460498,1969375,1472702,982418,457916,4462986,4191684,3456134,2954445,2463207,1967983,1453628,976333,486812
1582224,1781937046.7059,4712124,4161033,3517665,3004799,2498703,2005004,1503753,999527,497283,4692249,4246921,3626232,2982807,2470646,1974754,1477260,982322,486869,4732513,4194145,3570766,3063163,2558860,1947727,1538906,967273,474910,4474601,4098949,3453693,2958431,2460479,1969299,1472721,982475,457916,4463062,4191703,3456115,2954387,2463226,1967945,1453609,976352,486831
1582311,1781937046.7931,4712085,4160957,3517685,3004741,2498779,2005004,1503753,999546,497283,4692859,4247093,3626232,2982807,2470646,1974754,1477279,982303,486812,4732647,4194145,3570804,3063163,2558841,1947765,1538906,967216,474929,4474525,4098930,3453655,2958469,2460460,1969337,1472721,982418,457897,4463043,4191684,3456096,2954349,2463188,1967945,1453647,976409,486831
1582414,1781937046.8964,4712028,4160976,3517665,3004760,2498779,2005043,1503753,999584,497303,4692821,4247036,3626213,2982769,2470626,1974754,1477241,982303,486793,4732628,4194183,3570823,3063049,2558860,1947746,1538906,967254,474967,4474506,4099025,3453674,2958450,2460518,1969337,1472797,982437,457878,4463043,4191627,3456039,2954349,2463131,1967926,1453609,976448,486793
1582509,1781937046.9917,4712066,4161033,3517646,3004779,2498760,2005043,1503734,999622,497341,4693126,4247131,3626155,2982711,2470626,1974735,1477203,982265,486774,4732666,4194107,3570785,3063068,2558822,1947612,1538887,967197,474967,4474754,4098968,3453655,2958374,2460479,1969299,1472778,982437,457878,4463043,4191608,3455944,2954311,2463092,1967907,1453552,976467,486812
1582604,1781937047.0859,4712009,4161014,3517627,3004779,2498760,2005024,1503772,999660,497341,4693069,4247112,3626194,2982635,2470588,1974773,1477241,982303,486793,4732437,4194069,3570728,3063049,2558746,1947517,1538868,967140,475006,4474754,4098987,3453674,2958393,2460441,1969204,1472759,982475,457878,4462986,4191627,3455906,2954235,2463035,1967887,1453514,976448,486793
1582706,1781937047.2065,4711971,4161052,3517665,3004703,2498722,2005024,1503734,999679,497417,4693413,4247226,3626155,2982559,2470569,1974678,1477203,982379,486812,4732589,4194049,3570747,3062992,2558803,1947498,1538925,967140,474967,4474506,4098968,3453693,2958393,2460403,1969242,1472721,982456,457916,4462967,4191589,3455867,2954254,2463035,1967868,1453514,976429,486774
